run_id,original_path,exclusion_reason,secondary_label,detail
20260411_011819_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011819_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r02,short_duration,,duration_executed=6.1208
20260411_011838_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011838_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r03,short_duration,,duration_executed=6.7608
20260411_011858_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011858_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r04,short_duration,,duration_executed=6.0408
20260411_011917_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011917_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r05,low_progress,,low_progress:0.2985
20260411_011943_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011943_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r06,short_duration,,duration_executed=7.6217
20260411_012004_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_012004_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r07,short_duration,,duration_executed=5.3407
20260411_012022_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_012022_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r08,short_duration,,duration_executed=5.3613
20260411_012040_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_012040_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r09,short_duration,,duration_executed=5.2607
20260411_012058_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_012058_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r10,short_duration,,duration_executed=5.2606
20260411_012412_ocs2_stepdown_3cm_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_012412_ocs2_stepdown_3cm_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_r03,low_progress,,low_progress:0.0195
